"id","company_id","domain_id","organisation_id","vendor_id","unit_id","branch_code","branch_info","is_active","created_time","created_by","updated_time","updated_by","extra_info"
111,13,11,11,11,111,VF_TR_D_HW_CS,,true,,,,,
112,13,11,11,11,116,VF_TR_D_HW_IMS,,true,,,,,
113,13,11,11,11,117,VF_TR_D_HW_BTS,,true,,,,,
114,13,11,11,11,118,VF_TR_D_HW_BSC,,true,,,,,
115,13,11,11,11,119,VF_TR_D_HW_NB,,true,,,,,
116,13,11,11,11,120,VF_TR_D_HW_RNC,,true,,,,,
117,13,11,11,11,121,VF_TR_D_HW_ENB,,true,,,,,
118,13,11,11,11,122,VF_TR_D_HW_GNB,,true,,,,,
119,13,11,11,11,123,VF_TR_D_HW_RI_REPORT,,true,,,,,
120,13,11,11,11,124,VF_TR_D_HW_RI_TRX2G,,true,,,,,
121,13,11,11,11,125,VF_TR_D_HW_RI_TRX4G,,true,,,,,
122,13,11,11,11,126,VF_TR_D_HW_MW,,true,,,,,
123,13,11,11,11,127,VF_TR_D_HW_MW_REPORT,,true,,,,,
124,13,11,11,11,128,VF_TR_D_HW_U2000,,true,,,,,
125,13,11,11,11,129,VF_TR_D_HW_LOGS_NE,,true,,,,,
126,13,11,11,11,130,VF_TR_D_HW_LOGS_USER,,true,,,,,
127,13,11,11,11,131,VF_TR_D_HW_WDM,,true,,,,,
128,13,11,11,11,132,VF_TR_D_HW_ABID,,true,,,,,
129,13,11,11,11,133,VF_TR_D_HW_FTTS,,true,,,,,
130,13,11,11,11,134,VF_TR_D_HW_RAN,,true,,,,,
131,13,11,11,11,135,VF_TR_D_HW_TOPO,,true,,,,,
132,13,11,11,12,111,VF_TR_D_ER_CS,,true,,,,,
133,13,11,11,12,112,VF_TR_D_ER_DRA,,true,,,,,
134,13,11,11,12,113,VF_TR_D_ER_GGSN,,true,,,,,
135,13,11,11,12,114,VF_TR_D_ER_SGSN,,true,,,,,
136,13,11,11,12,115,VF_TR_D_ER_STP,,true,,,,,
137,13,11,11,13,111,VF_TR_D_NK_CS,,true,,,,,
138,13,11,11,14,121,VF_TR_D_UL_ENB,,true,,,,,
139,13,11,11,14,122,VF_TR_D_UL_GNB,,true,,,,,
140,13,11,11,15,136,VF_TR_D_DF_CLI,,true,,,,,
141,13,11,11,16,137,VF_TR_D_HPE_ON,,true,,,,,
142,13,11,11,16,138,VF_TR_D_HPE_ON_KPI,,true,,,,,
143,13,11,11,17,139,VF_TR_D_OTH_TWAMP,,true,,,,,
144,13,11,11,17,140,VF_TR_D_OTH_TWAMP_NNI,,true,,,,,
145,13,11,11,17,141,VF_TR_D_OTH_VAS,,true,,,,,
146,13,12,11,11,111,VF_NC_D_HW_CS,,true,,,,,
147,13,12,11,11,117,VF_NC_D_HW_BTS,,true,,,,,
148,13,12,11,11,118,VF_NC_D_HW_BSC,,true,,,,,
149,13,12,11,11,119,VF_NC_D_HW_NB,,true,,,,,
150,13,12,11,11,120,VF_NC_D_HW_RNC,,true,,,,,
151,13,12,11,11,121,VF_NC_D_HW_ENB,,true,,,,,
152,13,12,11,11,122,VF_NC_D_HW_GNB,,true,,,,,
153,13,12,11,11,126,VF_NC_D_HW_MW,,true,,,,,
154,13,12,11,11,127,VF_NC_D_HW_MW_REPORT,,true,,,,,
155,13,12,11,11,128,VF_NC_D_HW_U2000,,true,,,,,
156,13,12,11,17,139,VF_NC_D_OTH_TWAMP,,true,,,,,
